palabra;ocurrencia;administracion;delincuencia;espaciopublico;limpieza;movilidad
vehículo;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
derecho;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.933333333333333
derecho;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0666666666666667
contrato;0;0.954545454545455;0.961538461538462;0.96;0.906976744186046;0.966666666666667
contrato;1;0.0454545454545455;0.0384615384615385;0.04;0.0930232558139535;0.0333333333333333
espacio;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
espacio;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
viaje;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
viaje;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
avisar;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
avisar;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
pensar;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.95
pensar;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.05
beato;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
beato;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
cerca;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
cerca;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
corte;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
corte;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
tomás;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
tomás;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
zumárraga;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
zumárraga;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
dgt;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
dgt;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
dgtaraba;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
dgtaraba;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
nivel;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
nivel;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
rojo;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
rojo;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
terminar;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.983333333333333
terminar;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0166666666666667
tirar;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
tirar;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
cada;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.983333333333333
cada;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
edificio;0;0.954545454545455;0.961538461538462;0.88;0.976744186046512;0.983333333333333
edificio;1;0.0454545454545455;0.0384615384615385;0.12;0.0232558139534884;0.0166666666666667
fiesta;0;0.909090909090909;0.923076923076923;0.92;0.976744186046512;0.983333333333333
fiesta;1;0.0909090909090909;0.0769230769230769;0.08;0.0232558139534884;0.0166666666666667
hora;0;0.954545454545455;0.961538461538462;0.92;0.930232558139535;0.933333333333333
hora;1;0.0454545454545455;0.0384615384615385;0.08;0.0697674418604651;0.0666666666666667
madrugada;0;0.954545454545455;0.961538461538462;0.88;0.976744186046512;0.983333333333333
madrugada;1;0.0454545454545455;0.0384615384615385;0.12;0.0232558139534884;0.0166666666666667
ruido;0;0.954545454545455;0.961538461538462;0.84;0.953488372093023;0.983333333333333
ruido;1;0.0454545454545455;0.0384615384615385;0.16;0.0465116279069767;0.0166666666666667
asumir;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
asumir;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
directo;0;0.954545454545455;0.961538461538462;0.96;0.837209302325581;0.983333333333333
directo;1;0.0454545454545455;0.0384615384615385;0.04;0.162790697674419;0.0166666666666667
gestión;0;0.954545454545455;0.961538461538462;0.96;0.86046511627907;0.983333333333333
gestión;1;0.0454545454545455;0.0384615384615385;0.04;0.13953488372093;0.0166666666666667
nuevo;0;0.954545454545455;0.923076923076923;0.96;0.953488372093023;0.983333333333333
nuevo;1;0.0454545454545455;0.0769230769230769;0.04;0.0465116279069767;0.0166666666666667
posible;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
posible;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
cuándo;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.966666666666667
cuándo;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0333333333333333
acumulación;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
acumulación;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
salburua;0;0.909090909090909;0.961538461538462;0.96;0.953488372093023;0.983333333333333
salburua;1;0.0909090909090909;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
paloma;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
paloma;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
campo;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.966666666666667
campo;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0333333333333333
casco;0;0.909090909090909;0.961538461538462;0.96;0.976744186046512;0.983333333333333
casco;1;0.0909090909090909;0.0384615384615385;0.04;0.0232558139534884;0.0166666666666667
viejo;0;0.909090909090909;0.961538461538462;0.92;0.976744186046512;0.983333333333333
viejo;1;0.0909090909090909;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
plataforma;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.95
plataforma;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.05
debe;0;0.909090909090909;0.961538461538462;0.96;0.953488372093023;0.983333333333333
debe;1;0.0909090909090909;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
palacio;0;0.909090909090909;0.961538461538462;0.92;0.976744186046512;0.983333333333333
palacio;1;0.0909090909090909;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
carretera;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
carretera;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
capital;0;0.909090909090909;0.923076923076923;0.96;0.976744186046512;0.983333333333333
capital;1;0.0909090909090909;0.0769230769230769;0.04;0.0232558139534884;0.0166666666666667
medio;0;0.954545454545455;0.961538461538462;0.88;0.953488372093023;0.983333333333333
medio;1;0.0454545454545455;0.0384615384615385;0.12;0.0465116279069767;0.0166666666666667
fcc;0;0.954545454545455;0.961538461538462;0.96;0.906976744186046;0.983333333333333
fcc;1;0.0454545454545455;0.0384615384615385;0.04;0.0930232558139535;0.0166666666666667
rescindir;0;0.954545454545455;0.961538461538462;0.96;0.930232558139535;0.983333333333333
rescindir;1;0.0454545454545455;0.0384615384615385;0.04;0.0697674418604651;0.0166666666666667
cuerda;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
